name,lat,lon,population
St. George,37.0758,-113.5752,148895
Topeka,39.0346,-95.6955,148185
Burlington,36.076,-79.4685,147415
Torrance,33.8346,-118.3416,147156
Warner Robins,32.5961,-83.6527,146790
Roseville,38.7703,-121.3196,145687
Santa Maria,34.9333,-120.4431,143647
Athens,33.9508,-83.3689,143173
Houma,29.58,-90.7059,143160
Fullerton,33.8841,-117.9279,142964
Columbia,38.9472,-92.3268,142637
Surprise,33.6815,-112.4515,141875
Greeley,40.4152,-104.7706,140984
Beaumont,30.0849,-94.1451,140930
Las Cruces,32.3265,-106.7893,140915
Metairie,29.9977,-90.178,140590
Thornton,39.9197,-104.9438,140538
Olathe,38.8833,-94.82,140339
Midland,32.0243,-102.1147,140171
Carolina,18.4054,-65.9792,139735
West Valley City,40.6886,-112.0123,139361
Orange,33.8038,-117.8218,139195
Warren,42.4934,-83.027,138996
Pasadena,34.1597,-118.139,138771
Grand Junction,39.0877,-108.5673,138416
Tyler,32.3184,-95.3062,138024
Hampton,37.0551,-76.363,136748
Bloomington,40.4757,-88.9703,136524
Elizabeth,40.6658,-74.1913,135772
Yuma,32.5995,-114.5491,135389
Kent,47.3887,-122.2128,134890
Stamford,41.1039,-73.5585,134820
Coeur d'Alene,47.704,-116.7936,134503
Miramar,25.9773,-80.3351,134306
Sterling Heights,42.5809,-83.0305,134062
Coral Springs,26.2702,-80.2591,133693
Yuba City,39.1357,-121.6383,133106
Yakima,46.5923,-120.5496,132354
Racine,42.7274,-87.8135,132006
Johnson City,36.3406,-82.3806,131718
Billings,45.7891,-108.5526,131519
Carrollton,32.989,-96.8999,131388
Iowa City,41.6559,-91.5303,130736
Dover,39.161,-75.5202,130186
Bellingham,48.7548,-122.469,129880
Charleston,38.3484,-81.6322,129754
Lynchburg,37.4003,-79.1909,128849
Santa Clara,37.3646,-121.968,127922
Greenville,35.5943,-77.376,127574
Simi Valley,34.2663,-118.749,127568
Fort Smith,35.3495,-94.3695,126452
Norman,35.2335,-97.3471,125745
Arecibo,18.4491,-66.7387,125727
Abilene,32.4543,-99.7384,125474
Kenosha,42.5865,-87.8773,124297
Lehigh Acres,26.612,-81.6388,123751
Seaside,36.6224,-121.8199,123421
Burlington,44.4876,-73.2316,123307
