,name,lat,lon,population,state
171,Kennewick,46.1978,-119.1732,259995,Washington
172,North Las Vegas,36.2883,-115.0888,259638,Nevada
173,Tallahassee,30.4551,-84.2527,258696,Florida
174,St. Petersburg,27.7931,-82.6652,258245,Florida
175,Laredo,27.5625,-99.4874,254697,Texas
176,Irving,32.8583,-96.9702,254184,Texas
177,Peoria,40.752,-89.6154,253467,Illinois
178,Montgomery,32.3482,-86.2668,251158,Alabama
179,York,39.9651,-76.7315,247176,Pennsylvania
180,Chesapeake,36.6778,-76.3023,247172,Virginia
181,Glendale,33.5791,-112.2311,245685,Arizona
182,Nashua,42.7491,-71.491,245209,New Hampshire
183,Garland,32.91,-96.6304,245075,Texas
184,Scottsdale,33.6872,-111.8651,238685,Arizona
185,Norfolk,36.8945,-76.259,238556,Virginia
186,Lafayette,30.2082,-92.0325,237565,Louisiana
188,Appleton,44.278,-88.3892,233947,Wisconsin
189,Fremont,37.5265,-121.9843,231502,California
190,Aguadilla,18.4382,-67.1537,228854,Puerto Rico
191,Rock Hill,34.9415,-81.0241,228811,South Carolina
192,Fargo,46.8651,-96.8292,228364,North Dakota
193,Gulfport,30.4274,-89.0704,228022,Mississippi
194,Bremerton,47.5436,-122.7121,226805,Washington
195,Green Bay,44.5148,-87.9895,225633,Wisconsin
196,Hialeah,25.8696,-80.3045,224362,Florida
197,Deltona,28.905,-81.2137,221137,Florida
198,Gainesville,29.6804,-82.3459,220929,Florida
199,San Bernardino,34.1416,-117.2943,220821,California
200,Enterprise,36.0091,-115.2278,219566,Nevada
201,Roanoke,37.2785,-79.9581,218533,Virginia
202,Spring Valley,36.0952,-115.2636,217441,Nevada
203,Tacoma,47.2431,-122.4531,217332,Washington
204,Brownsville,25.9975,-97.458,215269,Texas
205,College Station,30.5852,-96.2959,213177,Texas
206,Olympia,47.0417,-122.8959,210877,Washington
207,Clarksville,36.5692,-87.3413,210551,Tennessee
208,Yonkers,40.9466,-73.8673,209730,New York
209,Thousand Oaks,34.1914,-118.8756,209570,California
211,Moreno Valley,33.9244,-117.2045,208371,California
212,Fontana,34.0968,-117.4599,208087,California
213,Hickory,35.741,-81.3223,206008,North Carolina
214,Amarillo,35.1984,-101.8316,205903,Texas
215,Sioux Falls,43.5396,-96.7311,204484,South Dakota
216,Evansville,37.9881,-87.5341,203661,Indiana
217,Huntington,38.4109,-82.4345,202754,West Virginia
218,Waterbury,41.5582,-73.0361,202422,Connecticut
219,Lorain,41.4409,-82.184,201808,Ohio
220,Kalamazoo,42.2749,-85.5882,200838,Michigan
221,Galveston,29.2484,-94.8913,200451,Texas
222,Spartanburg,34.9442,-81.9251,200000,South Carolina
223,Santa Barbara,34.4285,-119.7202,199023,California
224,Huntington Beach,33.696,-118.0018,198735,California
226,Sunrise Manor,36.1783,-115.0487,196411,Nevada
227,Grand Prairie,32.6871,-97.0208,195992,Texas
228,Waco,31.5599,-97.1882,195709,Texas
229,Hagerstown,39.6401,-77.7217,195261,Maryland
230,Overland Park,38.887,-94.687,195249,Kansas
231,Nampa,43.5844,-116.5638,193935,Idaho
232,Frisco,33.156,-96.8216,193140,Texas
233,Cedar Rapids,41.9662,-91.6783,191104,Iowa
234,Paradise,36.0872,-115.1355,189852,Nevada
235,McKinney,33.2016,-96.667,189394,Texas
236,Vancouver,45.6366,-122.5967,188331,Washington
238,Ocala,29.178,-82.1511,186840,Florida
239,Erie,42.1167,-80.0733,185556,Pennsylvania
240,Newport News,37.1051,-76.5185,185069,Virginia
241,Frederick,39.4337,-77.4141,184991,Maryland
242,Murfreesboro,35.849,-86.4121,184763,Tennessee
244,Fort Lauderdale,26.1412,-80.1464,182247,Florida
245,Danbury,41.4015,-73.4709,180143,Connecticut
246,Tempe,33.3881,-111.9319,178862,Arizona
247,Spring Hill,28.4798,-82.53,178833,Florida
248,Gastonia,35.2494,-81.1854,178220,North Carolina
249,Salinas,36.6883,-121.6317,177410,California
250,Fredericksburg,38.2992,-77.4872,176791,Virginia
252,Elk Grove,38.4161,-121.3842,175510,California
253,Ontario,34.0393,-117.6064,175223,California
254,Oceanside,33.2247,-117.3083,174461,California
255,Rancho Cucamonga,34.1247,-117.5667,173946,California
256,Garden Grove,33.7787,-117.9601,172708,California
258,Cary,35.7819,-78.8195,171603,North Carolina
259,Hemet,33.7341,-116.9969,170621,California
260,Pembroke Pines,26.0128,-80.3382,170346,Florida
261,Bayamón,18.3794,-66.1635,170028,Puerto Rico
262,Panama City,30.1995,-85.6003,169810,Florida
263,Vallejo,38.1125,-122.2342,169541,California
264,Manchester,42.9848,-71.4447,169097,New Hampshire
265,Medford,42.3372,-122.854,168959,Oregon
266,Mauldin,34.7821,-82.3032,168313,South Carolina
267,Palmdale,34.5944,-118.1057,167987,California
268,Santa Cruz,36.9789,-122.0346,167835,California
269,Norwich,41.5495,-72.0882,166885,Connecticut
270,Muskegon,43.2281,-86.2562,166847,Michigan
271,Leesburg,28.7672,-81.8962,166200,Florida
272,High Point,35.991,-79.9937,164836,North Carolina
273,Tuscaloosa,33.2348,-87.5268,164414,Alabama
274,Visalia,36.3276,-119.3269,163681,California
275,Marysville,48.0809,-122.1561,162664,Washington
276,Hayward,37.6328,-122.0766,162254,California
277,Merced,37.3057,-120.4779,160638,California
280,Alexandria,38.8185,-77.0861,158185,Virginia
281,Paterson,40.9147,-74.1624,157927,New Jersey
282,Corona,33.8616,-117.5649,157844,California
283,Macon,32.8065,-83.6974,156711,Georgia
284,Binghamton,42.1014,-75.9093,156375,New York
286,Lakewood,39.6977,-105.1172,155608,Colorado
287,Sunnyvale,37.3836,-122.0255,155550,California
288,Odessa,31.8801,-102.3448,155039,Texas
289,New Bedford,41.6697,-70.9428,153701,Massachusetts
290,Hollywood,26.0293,-80.1679,152597,Florida
291,South Lyon,42.4614,-83.6526,152132,Michigan
292,Pasadena,29.6575,-95.1498,151964,Texas
293,Pomona,34.0585,-117.7626,151592,California
294,Escondido,33.1348,-117.0723,151443,California
295,Lake Charles,30.201,-93.2111,151109,Louisiana
296,Joliet,41.5188,-88.1499,150323,Illinois
297,Champaign,40.1142,-88.2737,150179,Illinois
298,Mesquite,32.7602,-96.5865,149848,Texas
299,Fairfield,38.2583,-122.0335,149635,California
300,Elkhart,41.6916,-85.9627,149423,Indiana
301,Bellevue,47.5951,-122.1535,149365,Washington
302,Naperville,41.748,-88.1659,149013,Illinois
303,St. George,37.0758,-113.5752,148895,Utah
304,Topeka,39.0346,-95.6955,148185,Kansas
305,Burlington,36.076,-79.4685,147415,North Carolina
306,Torrance,33.8346,-118.3416,147156,California
307,Warner Robins,32.5961,-83.6527,146790,Georgia
308,Roseville,38.7703,-121.3196,145687,California
309,Santa Maria,34.9333,-120.4431,143647,California
310,Athens,33.9508,-83.3689,143173,Georgia
311,Houma,29.58,-90.7059,143160,Louisiana
312,Fullerton,33.8841,-117.9279,142964,California
314,Surprise,33.6815,-112.4515,141875,Arizona
315,Greeley,40.4152,-104.7706,140984,Colorado
316,Beaumont,30.0849,-94.1451,140930,Texas
317,Las Cruces,32.3265,-106.7893,140915,New Mexico
318,Metairie,29.9977,-90.178,140590,Louisiana
319,Thornton,39.9197,-104.9438,140538,Colorado
320,Olathe,38.8833,-94.82,140339,Kansas
321,Midland,32.0243,-102.1147,140171,Texas
322,Carolina,18.4054,-65.9792,139735,Puerto Rico
323,West Valley City,40.6886,-112.0123,139361,Utah
324,Orange,33.8038,-117.8218,139195,California
325,Warren,42.4934,-83.027,138996,Michigan
327,Grand Junction,39.0877,-108.5673,138416,Colorado
328,Tyler,32.3184,-95.3062,138024,Texas
329,Hampton,37.0551,-76.363,136748,Virginia
330,Bloomington,40.4757,-88.9703,136524,Illinois
331,Elizabeth,40.6658,-74.1913,135772,New Jersey
332,Yuma,32.5995,-114.5491,135389,Arizona
333,Kent,47.3887,-122.2128,134890,Washington
334,Stamford,41.1039,-73.5585,134820,Connecticut
335,Coeur d'Alene,47.704,-116.7936,134503,Idaho
336,Miramar,25.9773,-80.3351,134306,Florida
337,Sterling Heights,42.5809,-83.0305,134062,Michigan
338,Coral Springs,26.2702,-80.2591,133693,Florida
339,Yuba City,39.1357,-121.6383,133106,California
340,Yakima,46.5923,-120.5496,132354,Washington
341,Racine,42.7274,-87.8135,132006,Wisconsin
342,Johnson City,36.3406,-82.3806,131718,Tennessee
343,Billings,45.7891,-108.5526,131519,Montana
344,Carrollton,32.989,-96.8999,131388,Texas
345,Iowa City,41.6559,-91.5303,130736,Iowa
346,Dover,39.161,-75.5202,130186,Delaware
347,Bellingham,48.7548,-122.469,129880,Washington
349,Lynchburg,37.4003,-79.1909,128849,Virginia
350,Santa Clara,37.3646,-121.968,127922,California
352,Simi Valley,34.2663,-118.749,127568,California
353,Fort Smith,35.3495,-94.3695,126452,Arkansas
354,Norman,35.2335,-97.3471,125745,Oklahoma
355,Arecibo,18.4491,-66.7387,125727,Puerto Rico
356,Abilene,32.4543,-99.7384,125474,Texas
357,Kenosha,42.5865,-87.8773,124297,Wisconsin
358,Lehigh Acres,26.612,-81.6388,123751,Florida
359,Seaside,36.6224,-121.8199,123421,California
361,Arvada,39.832,-105.151,122903,Colorado
362,Pearland,29.5581,-95.3218,122609,Texas
363,Waldorf,38.6085,-76.9194,122310,Maryland
364,Independence,39.0871,-94.3501,122230,Missouri
366,Logan,41.7399,-111.8422,121666,Utah
367,Harlingen,26.1916,-97.6977,121441,Texas
368,Pueblo,38.2701,-104.6114,120380,Colorado
369,Temple,31.1068,-97.3891,120240,Texas
370,Berkeley,37.8722,-122.276,119607,California
371,East Los Angeles,34.0326,-118.1691,118964,California
372,Duluth,46.7756,-92.1393,118574,Minnesota
373,Clovis,36.8278,-119.683,118488,California
374,Boulder,40.0248,-105.2524,118090,Colorado
375,Round Rock,30.527,-97.6642,117735,Texas
376,Port Arthur,29.8554,-93.9264,117348,Texas
377,Redding,40.5698,-122.365,117163,California
378,Monroe,32.5185,-92.0774,116927,Louisiana
379,Cambridge,42.3759,-71.1185,116892,Massachusetts
380,Utica,43.0962,-75.2261,116766,New York
381,St. Cloud,45.534,-94.1718,116649,Minnesota
382,Mandeville,30.3751,-90.0904,116649,Louisiana
383,Clearwater,27.979,-82.7623,116616,Florida
384,West Jordan,40.6024,-112.0008,116045,Utah
385,Richardson,32.9716,-96.7093,115904,Texas
386,West Palm Beach,26.7469,-80.132,115877,Florida
387,The Woodlands,30.1738,-95.5134,115716,Texas
389,Westminster,39.8837,-105.0624,115535,Colorado
390,Saginaw,43.4199,-83.9501,115442,Michigan
391,Brandon,27.9367,-82.3,115330,Florida
